statename,distname,YEAR,MURDER,CULPABLE HOMICIDE NOT AMOUNTING TO MURDER
Andhra Pradesh,Adilabad,2001,101,17
Andhra Pradesh,Anantapur,2001,151,1
Andhra Pradesh,Chittoor,2001,101,2
Andhra Pradesh,Cuddapah,2001,80,1
Andhra Pradesh,East Godavari,2001,82,1
Andhra Pradesh,Guntakal Rly.,2001,3,0
Andhra Pradesh,Guntur,2001,182,2
Andhra Pradesh,Hyderabad City,2001,111,7
Andhra Pradesh,Karimnagar,2001,162,6
Andhra Pradesh,Khammam,2001,93,1
Andhra Pradesh,Krishna,2001,65,0
Andhra Pradesh,Kurnool,2001,133,4
Andhra Pradesh,Mahaboobnagar,2001,157,26
Andhra Pradesh,Medak,2001,101,12
Andhra Pradesh,Nalgonda,2001,122,1
Andhra Pradesh,Nellore,2001,89,5
Andhra Pradesh,Nizamabad,2001,106,14
Andhra Pradesh,Prakasham,2001,102,3
Andhra Pradesh,Ranga Reddy,2001,214,16
Andhra Pradesh,Secunderabad Rly.,2001,6,0
Andhra Pradesh,Srikakulam,2001,38,4
Andhra Pradesh,Vijayawada,2001,53,5
Andhra Pradesh,Vijayawada Rly.,2001,2,0
Andhra Pradesh,Visakha Rural,2001,58,0
Andhra Pradesh,Visakhapatnam,2001,22,1
Andhra Pradesh,Vizianagaram,2001,33,1
Andhra Pradesh,Warangal,2001,158,5
Andhra Pradesh,West Godavari,2001,77,1
Andhra Pradesh,Total,2001,2602,136
Arunachal Pradesh,Changlang,2001,11,0
Arunachal Pradesh,Dibang Valley,2001,3,0
Arunachal Pradesh,Kameng East,2001,3,0
Arunachal Pradesh,Kameng West,2001,4,0
Arunachal Pradesh,Lohit,2001,16,1
Arunachal Pradesh,Papum Pare,2001,11,0
Arunachal Pradesh,Siang East,2001,7,0
Arunachal Pradesh,Siang Upper,2001,1,0
Arunachal Pradesh,Siang West,2001,5,0
Arunachal Pradesh,Subansiri Lower,2001,8,1
Arunachal Pradesh,Subansiri Upper,2001,4,0
Arunachal Pradesh,Tawang,2001,2,0
Arunachal Pradesh,Tirap,2001,8,1
Arunachal Pradesh,Total,2001,83,3
Assam,Barpeta,2001,64,0
Assam,Bongaigaon,2001,45,0
Assam,C.I.D.,2001,0,0
Assam,Cachar,2001,52,1
Assam,Darrang,2001,61,0
Assam,Dhemaji,2001,15,0
Assam,Dhubri,2001,65,0
Assam,Dibrugarh,2001,110,6
Assam,G.R.P.,2001,13,0
Assam,Goalpara,2001,28,0
Assam,Golaghat,2001,53,0
Assam,Guwahati City,2001,71,12
Assam,Hailakandi,2001,18,0
Assam,Jorhat,2001,40,2
Assam,Kamrup,2001,37,8
Assam,Karbi Anglong,2001,65,3
Assam,Karimganj,2001,32,0
Assam,Kokrajhar,2001,87,1
Assam,Lakhimpur,2001,26,1
Assam,Morigaon,2001,20,0
Assam,N.C.Hills,2001,17,1
Assam,Nagaon,2001,95,3
Assam,Nalbari,2001,79,0
Assam,R.P.O.,2001,11,0
Assam,Sibsagar,2001,59,0
Assam,Sonitpur,2001,86,1
Assam,Tinsukia,2001,107,1
Assam,Total,2001,1356,40
Bihar,Araria,2001,47,4
Bihar,Arwal,2001,37,1
Bihar,Aurangabad,2001,74,0
Bihar,Bagaha,2001,34,12
Bihar,Banka,2001,93,4
Bihar,Begusarai,2001,124,5
Bihar,Bettiah,2001,66,20
Bihar,Bhabhua,2001,41,3
Bihar,Bhagalpur,2001,128,6
Bihar,Bhojpur,2001,135,0
Bihar,Buxar,2001,56,0
Bihar,Darbhanga,2001,53,4
Bihar,Gaya,2001,200,7
Bihar,Gopalganj,2001,107,4
Bihar,Jamalpur Rly.,2001,7,0
Bihar,Jamui,2001,67,3
Bihar,Jehanabad,2001,73,2
Bihar,Katihar,2001,60,2
Bihar,Katihar Rly.,2001,7,0
Bihar,Khagaria,2001,72,2
Bihar,Kishanganj,2001,25,1
Bihar,Lakhisarai,2001,61,5
Bihar,Madhepura,2001,56,7
Bihar,Madhubani,2001,35,5
Bihar,Motihari,2001,114,11
Bihar,Munger,2001,51,0
Bihar,Muzaffarpur,2001,153,21
Bihar,Muzaffarpur Rly.,2001,13,0
Bihar,Nalanda,2001,208,18
Bihar,Naugachia,2001,36,0
Bihar,Nawadah,2001,77,5
Bihar,Patna,2001,434,30
Bihar,Patna Rly.,2001,24,0
Bihar,Purnea,2001,104,10
Bihar,Rohtas,2001,127,4
Bihar,Saharsa,2001,36,3
Bihar,Samastipur,2001,107,20
Bihar,Saran,2001,137,0
Bihar,Sheikhpura,2001,28,1
Bihar,Sheohar,2001,18,1
Bihar,Sitamarhi,2001,51,3
Bihar,Siwan,2001,116,9
Bihar,Supaul,2001,41,4
Bihar,Vaishali,2001,110,13
Bihar,Total,2001,3643,250
Chhattisgarh,Balrampur,2001,13,0
Chhattisgarh,Bilaspur,2001,99,11
Chhattisgarh,Bizapur,2001,9,0
Chhattisgarh,Dantewara,2001,83,0
Chhattisgarh,Dhamtari,2001,14,0
Chhattisgarh,Durg,2001,76,0
Chhattisgarh,Grp Raipur,2001,2,0
Chhattisgarh,Jagdalpur,2001,80,4
Chhattisgarh,Janjgir,2001,48,0
Chhattisgarh,Jashpur,2001,37,6
Chhattisgarh,Kanker,2001,31,1
Chhattisgarh,Kawardha,2001,19,2
Chhattisgarh,Korba,2001,33,1
Chhattisgarh,Koriya,2001,35,4
Chhattisgarh,Mahasamund,2001,18,5
Chhattisgarh,Raigarh,2001,50,0
Chhattisgarh,Raipur,2001,92,10
Chhattisgarh,Rajnandgaon,2001,36,0
Chhattisgarh,Sarguja,2001,105,1
Chhattisgarh,Total,2001,880,45
Goa,North Goa,2001,22,4
Goa,South Goa,2001,14,1
