statename,distname,YEAR,KIDNAPPING & ABDUCTION,DACOITY,ROBBERY,THEFT,AUTO THEFT
Andhra Pradesh,Adilabad,2001,46,9,41,199,22
Andhra Pradesh,Anantapur,2001,53,8,16,366,57
Andhra Pradesh,Chittoor,2001,59,4,14,723,164
Andhra Pradesh,Cuddapah,2001,25,1,4,173,36
Andhra Pradesh,East Godavari,2001,49,4,25,1021,150
Andhra Pradesh,Guntakal Rly.,2001,0,5,2,162,0
Andhra Pradesh,Guntur,2001,82,16,59,1122,171
Andhra Pradesh,Hyderabad City,2001,80,13,67,2792,1128
Andhra Pradesh,Karimnagar,2001,67,27,50,392,54
Andhra Pradesh,Khammam,2001,41,1,13,368,34
Andhra Pradesh,Krishna,2001,36,3,15,478,27
Andhra Pradesh,Kurnool,2001,47,6,22,297,6
Andhra Pradesh,Mahaboobnagar,2001,42,8,27,316,33
Andhra Pradesh,Medak,2001,26,27,26,286,36
Andhra Pradesh,Nalgonda,2001,27,6,28,318,43
Andhra Pradesh,Nellore,2001,90,12,16,608,72
Andhra Pradesh,Nizamabad,2001,38,7,22,234,48
Andhra Pradesh,Prakasham,2001,31,15,14,278,33
Andhra Pradesh,Ranga Reddy,2001,106,24,78,1296,347
Andhra Pradesh,Secunderabad Rly.,2001,0,0,10,296,0
Andhra Pradesh,Srikakulam,2001,12,1,4,231,1
Andhra Pradesh,Vijayawada,2001,70,3,27,2057,264
Andhra Pradesh,Vijayawada Rly.,2001,0,0,1,265,0
Andhra Pradesh,Visakha Rural,2001,12,4,3,165,0
Andhra Pradesh,Visakhapatnam,2001,13,1,5,630,172
Andhra Pradesh,Vizianagaram,2001,8,0,2,144,0
Andhra Pradesh,Warangal,2001,81,2,23,418,79
Andhra Pradesh,West Godavari,2001,41,7,15,1116,74
Andhra Pradesh,Total,2001,1182,214,629,16751,3051
Arunachal Pradesh,Changlang,2001,3,3,4,24,0
Arunachal Pradesh,Dibang Valley,2001,4,2,5,19,1
Arunachal Pradesh,Kameng East,2001,7,1,6,26,0
Arunachal Pradesh,Kameng West,2001,2,1,0,26,0
Arunachal Pradesh,Lohit,2001,6,2,8,31,0
Arunachal Pradesh,Papum Pare,2001,15,4,29,109,29
Arunachal Pradesh,Siang East,2001,11,4,8,52,4
Arunachal Pradesh,Siang Upper,2001,5,0,0,9,0
Arunachal Pradesh,Siang West,2001,17,1,10,72,1
Arunachal Pradesh,Subansiri Lower,2001,6,1,7,25,0
Arunachal Pradesh,Subansiri Upper,2001,1,3,5,20,0
Arunachal Pradesh,Tawang,2001,0,0,0,13,1
Arunachal Pradesh,Tirap,2001,6,0,2,17,0
Arunachal Pradesh,Total,2001,83,22,84,443,36
Assam,Barpeta,2001,105,43,45,187,2
Assam,Bongaigaon,2001,36,13,25,92,0
Assam,C.I.D.,2001,0,0,0,1,0
Assam,Cachar,2001,104,29,42,359,0
Assam,Darrang,2001,64,21,29,185,2
Assam,Dhemaji,2001,31,2,12,79,0
Assam,Dhubri,2001,69,53,19,83,2
Assam,Dibrugarh,2001,57,14,29,325,18
Assam,G.R.P.,2001,3,8,16,135,0
Assam,Goalpara,2001,43,37,13,116,1
Assam,Golaghat,2001,44,13,27,211,27
Assam,Guwahati City,2001,129,38,73,736,124
Assam,Hailakandi,2001,36,6,8,92,1
Assam,Jorhat,2001,37,6,27,230,27
Assam,Kamrup,2001,95,30,41,275,40
Assam,Karbi Anglong,2001,38,12,33,79,3
Assam,Karimganj,2001,42,8,5,114,9
Assam,Kokrajhar,2001,41,14,10,89,0
Assam,Lakhimpur,2001,72,15,47,195,0
Assam,Morigaon,2001,39,15,10,66,3
Assam,N.C.Hills,2001,8,4,5,30,3
Assam,Nagaon,2001,119,59,33,491,36
Assam,Nalbari,2001,53,15,39,119,3
Assam,R.P.O.,2001,2,13,2,29,0
Assam,Sibsagar,2001,64,3,41,343,35
