statename,distname,YEAR,RAPE,CUSTODIAL RAPE,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CRUELTY BY HUSBAND OR HIS RELATIVES,CAUSING DEATH BY NEGLIGENCE
Andhra Pradesh,Adilabad,2001,50,0,16,104,30,16,149,175,181
Andhra Pradesh,Anantapur,2001,23,0,11,65,69,7,118,154,270
Andhra Pradesh,Chittoor,2001,27,0,33,209,38,14,112,186,404
Andhra Pradesh,Cuddapah,2001,20,0,12,37,23,17,126,57,233
Andhra Pradesh,East Godavari,2001,23,0,50,220,41,12,109,247,431
Andhra Pradesh,Guntakal Rly.,2001,0,0,0,0,0,0,1,0,4
Andhra Pradesh,Guntur,2001,54,0,67,300,43,7,139,378,369
Andhra Pradesh,Hyderabad City,2001,37,0,101,1293,0,24,118,746,409
Andhra Pradesh,Karimnagar,2001,56,0,25,243,33,62,414,224,322
Andhra Pradesh,Khammam,2001,47,0,35,130,73,17,180,172,209
Andhra Pradesh,Krishna,2001,37,0,24,104,62,10,208,265,268
Andhra Pradesh,Kurnool,2001,29,0,6,126,5,13,141,92,292
Andhra Pradesh,Mahaboobnagar,2001,59,0,22,84,0,14,176,69,280
Andhra Pradesh,Medak,2001,35,0,17,87,37,26,100,192,335
Andhra Pradesh,Nalgonda,2001,35,0,13,122,72,31,188,214,432
Andhra Pradesh,Nellore,2001,46,0,20,177,65,10,207,287,266
Andhra Pradesh,Nizamabad,2001,21,0,61,122,30,19,55,228,220
Andhra Pradesh,Prakasham,2001,19,0,16,88,43,5,140,119,263
Andhra Pradesh,Ranga Reddy,2001,72,0,67,527,67,37,113,421,593
Andhra Pradesh,Secunderabad Rly.,2001,0,0,2,4,0,1,0,0,6
Andhra Pradesh,Srikakulam,2001,8,0,18,53,34,6,38,108,167
Andhra Pradesh,Vijayawada,2001,25,0,34,614,17,2,84,520,234
Andhra Pradesh,Vijayawada Rly.,2001,1,0,2,3,0,0,1,0,2
Andhra Pradesh,Visakha Rural,2001,12,0,19,39,31,3,67,99,216
Andhra Pradesh,Visakhapatnam,2001,13,0,37,192,15,0,33,204,196
Andhra Pradesh,Vizianagaram,2001,8,0,11,41,12,0,40,121,175
Andhra Pradesh,Warangal,2001,53,0,6,137,0,52,241,165,269
Andhra Pradesh,West Godavari,2001,61,0,63,270,32,15,246,348,354
Andhra Pradesh,Total,2001,871,0,788,5391,872,420,3544,5791,7400
Arunachal Pradesh,Changlang,2001,1,0,4,3,1,0,3,0,0
Arunachal Pradesh,Dibang Valley,2001,2,0,3,0,0,0,4,2,0
Arunachal Pradesh,Kameng East,2001,2,0,1,1,1,0,5,0,0
Arunachal Pradesh,Kameng West,2001,0,0,1,4,0,0,0,0,0
Arunachal Pradesh,Lohit,2001,2,0,5,2,2,0,8,0,0
Arunachal Pradesh,Papum Pare,2001,9,0,12,8,1,0,6,3,0
Arunachal Pradesh,Siang East,2001,5,0,4,4,1,0,7,2,0
Arunachal Pradesh,Siang Upper,2001,2,0,1,0,2,0,3,0,0
Arunachal Pradesh,Siang West,2001,4,0,5,5,3,0,25,2,0
Arunachal Pradesh,Subansiri Lower,2001,2,0,3,2,2,0,4,0,0
Arunachal Pradesh,Subansiri Upper,2001,2,0,2,0,0,0,8,2,0
Arunachal Pradesh,Tawang,2001,1,0,0,1,0,0,5,0,0
Arunachal Pradesh,Tirap,2001,1,0,0,0,0,0,0,0,0
Arunachal Pradesh,Total,2001,33,0,41,30,13,0,78,11,0
Assam,Barpeta,2001,28,0,26,29,38,10,29,95,87
Assam,Bongaigaon,2001,20,0,4,13,12,1,22,26,50
Assam,C.I.D.,2001,0,0,0,5,0,0,0,0,0
Assam,Cachar,2001,45,0,29,33,64,7,80,216,235
Assam,Darrang,2001,48,0,21,25,16,9,56,37,66
Assam,Dhemaji,2001,42,0,7,15,16,0,26,0,20
Assam,Dhubri,2001,43,0,11,24,23,5,49,111,47
Assam,Dibrugarh,2001,35,0,13,12,20,3,41,19,108
Assam,G.R.P.,2001,1,0,1,0,0,0,0,0,0
